Tool,Type,Severity,File,Line,Description
Semgrep,sast.py-info-version-disclosure,LOW,vulnerable-app/app.py,26,Раскрытие версии приложения в ответе.
Semgrep,sast.py-os-system-rce,CRITICAL,vulnerable-app/app.py,52,RCE через os.system с данными пользователя.
Semgrep,sast.py-arbitrary-file-read,CRITICAL,vulnerable-app/app.py,68,Чтение произвольного файла по пути из запроса (LFI/Path Traversal).
Semgrep,sast.py-unsafe-pickle-deserialization,CRITICAL,vulnerable-app/app.py,79,Небезопасная десериализация через pickle.loads.
Semgrep,sast.py-eval-user-input,HIGH,vulnerable-app/app.py,88,Опасное использование eval на пользовательском вводе.
Checkov,CKV_DOCKER_3,,vulnerable-app/Dockerfile,1,Ensure that a user for the container has been created
Checkov,CKV_DOCKER_2,,vulnerable-app/Dockerfile,1,Ensure that HEALTHCHECK instructions have been added to container images
Dependency-Check,CVE-2012-5783,MEDIUM,/root/.m2/repository/commons-httpclient/commons-httpclient/3.1/commons-httpclient-3.1.jar,,"Apache Commons HttpClient 3.x, as used in Amazon Flexible Payments Service (FPS) merchant Java SDK a"
Dependency-Check,CVE-2020-13956,MEDIUM,/root/.m2/repository/commons-httpclient/commons-httpclient/3.1/commons-httpclient-3.1.jar,,Apache HttpClient versions prior to version 4.5.13 and 5.0.3 can misinterpret malformed authority co
Dependency-Check,CVE-2015-3253,CRITICAL,/root/.m2/repository/org/codehaus/groovy/groovy-all/2.1.6/groovy-all-2.1.6.jar,,The MethodClosure class in runtime/MethodClosure.java in Apache Groovy 1.7.0 through 2.4.3 allows re
Dependency-Check,CVE-2016-6814,CRITICAL,/root/.m2/repository/org/codehaus/groovy/groovy-all/2.1.6/groovy-all-2.1.6.jar,,"When an application with unsupported Codehaus versions of Groovy from 1.7.0 to 2.4.3, Apache Groovy "
Dependency-Check,CVE-2020-17521,MEDIUM,/root/.m2/repository/org/codehaus/groovy/groovy-all/2.1.6/groovy-all-2.1.6.jar,,Apache Groovy provides extension methods to aid with creating temporary directories. Prior to this f
Dependency-Check,CVE-2018-1000873,MEDIUM,/root/.m2/repository/com/fasterxml/jackson/core/jackson-annotations/2.4.0/jackson-annotations-2.4.0.jar,,Fasterxml Jackson version Before 2.9.8 contains a CWE-20: Improper Input Validation vulnerability in
Dependency-Check,CVE-2018-1000873,MEDIUM,/root/.m2/repository/com/fasterxml/jackson/core/jackson-core/2.4.6/jackson-core-2.4.6.jar,,Fasterxml Jackson version Before 2.9.8 contains a CWE-20: Improper Input Validation vulnerability in
Dependency-Check,CVE-2017-15095,CRITICAL,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,"A deserialization flaw was discovered in the jackson-databind in versions before 2.8.10 and 2.9.1, w"
Dependency-Check,CVE-2017-17485,CRITICAL,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind through 2.8.10 and 2.9.x through 2.9.3 allows unauthenticated remote code
Dependency-Check,CVE-2017-7525,CRITICAL,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,"A deserialization flaw was discovered in the jackson-databind, versions before 2.6.7.1, 2.7.9.1 and "
Dependency-Check,CVE-2018-11307,CRITICAL,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,An issue was discovered in FasterXML jackson-databind 2.0.0 through 2.9.5. Use of Jackson default ty
Dependency-Check,CVE-2018-14718,CRITICAL,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.7 might allow remote attackers to execute arbitrary code b
Dependency-Check,CVE-2018-14719,CRITICAL,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,FasterXML jackson-databind 2.x before 2.9.7 might allow remote attackers to execute arbitrary code b
Dependency-Check,CVE-2018-7489,CRITICAL,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,"FasterXML jackson-databind before 2.7.9.3, 2.8.x before 2.8.11.1 and 2.9.x before 2.9.5 allows unaut"
Dependency-Check,CVE-2019-14379,CRITICAL,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,SubTypeValidator.java in FasterXML jackson-databind before 2.9.9.2 mishandles default typing when eh
Dependency-Check,CVE-2019-14540,CRITICAL,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,A Polymorphic Typing issue was discovered in FasterXML jackson-databind before 2.9.10. It is related
Dependency-Check,CVE-2019-14892,CRITICAL,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,"A flaw was discovered in jackson-databind in versions before 2.9.10, 2.8.11.5 and 2.6.7.3, where it "
Dependency-Check,CVE-2019-16335,CRITICAL,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,A Polymorphic Typing issue was discovered in FasterXML jackson-databind before 2.9.10. It is related
Dependency-Check,CVE-2019-16942,CRITICAL,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,A Polymorphic Typing issue was discovered in FasterXML jackson-databind 2.0.0 through 2.9.10. When D
Dependency-Check,CVE-2019-16943,CRITICAL,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,A Polymorphic Typing issue was discovered in FasterXML jackson-databind 2.0.0 through 2.9.10. When D
Dependency-Check,CVE-2019-17267,CRITICAL,/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.6/jackson-databind-2.4.6.jar,,A Polymorphic Typing issue was discovered in FasterXML jackson-databind before 2.9.10. It is related
