tool,file,id,severity,message,line
Semgrep,vulnerable-app/app.py,sast.py-info-version-disclosure,LOW,Раскрытие версии приложения в ответе.,26
Semgrep,vulnerable-app/app.py,sast.py-os-system-rce,CRITICAL,RCE через os.system с данными пользователя.,52
Semgrep,vulnerable-app/app.py,sast.py-arbitrary-file-read,CRITICAL,Чтение произвольного файла по пути из запроса (LFI/Path Traversal).,68
Semgrep,vulnerable-app/app.py,sast.py-unsafe-pickle-deserialization,CRITICAL,Небезопасная десериализация через pickle.loads.,79
Semgrep,vulnerable-app/app.py,sast.py-eval-user-input,HIGH,Опасное использование eval на пользовательском вводе.,88
Checkov,vulnerable-app/Dockerfile,CKV_DOCKER_3,,Ensure that a user for the container has been created,1
Checkov,vulnerable-app/Dockerfile,CKV_DOCKER_2,,Ensure that HEALTHCHECK instructions have been added to container images,1
Dependency-Check,commons-httpclient-3.1.jar,CVE-2012-5783,MEDIUM,"Apache Commons HttpClient 3.x, as used in Amazon Flexible Payments Service (FPS) merchant Java SDK and other products, does not verify that the server hostname matches a domain name in the subject's C",
Dependency-Check,commons-httpclient-3.1.jar,CVE-2020-13956,MEDIUM,Apache HttpClient versions prior to version 4.5.13 and 5.0.3 can misinterpret malformed authority component in request URIs passed to the library as java.net.URI object and pick the wrong target host ,
Dependency-Check,groovy-all-2.1.6.jar,CVE-2015-3253,CRITICAL,The MethodClosure class in runtime/MethodClosure.java in Apache Groovy 1.7.0 through 2.4.3 allows remote attackers to execute arbitrary code or cause a denial of service via a crafted serialized objec,
Dependency-Check,groovy-all-2.1.6.jar,CVE-2016-6814,CRITICAL,"When an application with unsupported Codehaus versions of Groovy from 1.7.0 to 2.4.3, Apache Groovy 2.4.4 to 2.4.7 on classpath uses standard Java serialization mechanisms, e.g. to communicate between",
Dependency-Check,groovy-all-2.1.6.jar,CVE-2020-17521,MEDIUM,"Apache Groovy provides extension methods to aid with creating temporary directories. Prior to this fix, Groovy's implementation of those extension methods was using a now superseded Java JDK method ca",
Dependency-Check,jackson-annotations-2.4.0.jar,CVE-2018-1000873,MEDIUM,Fasterxml Jackson version Before 2.9.8 contains a CWE-20: Improper Input Validation vulnerability in Jackson-Modules-Java8 that can result in Causes a denial-of-service (DoS). This attack appear to be,
Dependency-Check,jackson-core-2.4.6.jar,CVE-2018-1000873,MEDIUM,Fasterxml Jackson version Before 2.9.8 contains a CWE-20: Improper Input Validation vulnerability in Jackson-Modules-Java8 that can result in Causes a denial-of-service (DoS). This attack appear to be,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2017-15095,CRITICAL,"A deserialization flaw was discovered in the jackson-databind in versions before 2.8.10 and 2.9.1, which could allow an unauthenticated user to perform code execution by sending the maliciously crafte",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2017-17485,CRITICAL,FasterXML jackson-databind through 2.8.10 and 2.9.x through 2.9.3 allows unauthenticated remote code execution because of an incomplete fix for the CVE-2017-7525 deserialization flaw. This is exploita,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2017-7525,CRITICAL,"A deserialization flaw was discovered in the jackson-databind, versions before 2.6.7.1, 2.7.9.1 and 2.8.9, which could allow an unauthenticated user to perform code execution by sending the maliciousl",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2018-11307,CRITICAL,"An issue was discovered in FasterXML jackson-databind 2.0.0 through 2.9.5. Use of Jackson default typing along with a gadget class from iBatis allows exfiltration of content. Fixed in 2.7.9.4, 2.8.11.",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2018-14718,CRITICAL,FasterXML jackson-databind 2.x before 2.9.7 might allow remote attackers to execute arbitrary code by leveraging failure to block the slf4j-ext class from polymorphic deserialization.,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2018-14719,CRITICAL,FasterXML jackson-databind 2.x before 2.9.7 might allow remote attackers to execute arbitrary code by leveraging failure to block the blaze-ds-opt and blaze-ds-core classes from polymorphic deserializ,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2018-7489,CRITICAL,"FasterXML jackson-databind before 2.7.9.3, 2.8.x before 2.8.11.1 and 2.9.x before 2.9.5 allows unauthenticated remote code execution because of an incomplete fix for the CVE-2017-7525 deserialization ",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2019-14379,CRITICAL,"SubTypeValidator.java in FasterXML jackson-databind before 2.9.9.2 mishandles default typing when ehcache is used (because of net.sf.ehcache.transaction.manager.DefaultTransactionManagerLookup), leadi",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2019-14540,CRITICAL,A Polymorphic Typing issue was discovered in FasterXML jackson-databind before 2.9.10. It is related to com.zaxxer.hikari.HikariConfig.,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2019-14892,CRITICAL,"A flaw was discovered in jackson-databind in versions before 2.9.10, 2.8.11.5 and 2.6.7.3, where it would permit polymorphic deserialization of a malicious object using commons-configuration 1 and 2 J",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2019-16335,CRITICAL,A Polymorphic Typing issue was discovered in FasterXML jackson-databind before 2.9.10. It is related to com.zaxxer.hikari.HikariDataSource. This is a different vulnerability than CVE-2019-14540.,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2019-16942,CRITICAL,A Polymorphic Typing issue was discovered in FasterXML jackson-databind 2.0.0 through 2.9.10. When Default Typing is enabled (either globally or for a specific property) for an externally exposed JSON,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2019-16943,CRITICAL,A Polymorphic Typing issue was discovered in FasterXML jackson-databind 2.0.0 through 2.9.10. When Default Typing is enabled (either globally or for a specific property) for an externally exposed JSON,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2019-17267,CRITICAL,A Polymorphic Typing issue was discovered in FasterXML jackson-databind before 2.9.10. It is related to net.sf.ehcache.hibernate.EhcacheJtaTransactionManagerLookup.,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2019-17531,CRITICAL,A Polymorphic Typing issue was discovered in FasterXML jackson-databind 2.0.0 through 2.9.10. When Default Typing is enabled (either globally or for a specific property) for an externally exposed JSON,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2019-20330,CRITICAL,FasterXML jackson-databind 2.x before 2.9.10.2 lacks certain net.sf.ehcache blocking.,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-8840,CRITICAL,"FasterXML jackson-databind 2.0.0 through 2.9.10.2 lacks certain xbean-reflect/JNDI blocking, as demonstrated by org.apache.xbean.propertyeditor.JndiConverter.",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-9547,CRITICAL,"FasterXML jackson-databind 2.x before 2.9.10.4 mishandles the interaction between serialization gadgets and typing, related to com.ibatis.sqlmap.engine.transaction.jta.JtaTransactionConfig (aka ibatis",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-9548,CRITICAL,"FasterXML jackson-databind 2.x before 2.9.10.4 mishandles the interaction between serialization gadgets and typing, related to br.com.anteros.dbcp.AnterosDBCPConfig (aka anteros-core).",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-10673,HIGH,"FasterXML jackson-databind 2.x before 2.9.10.4 mishandles the interaction between serialization gadgets and typing, related to com.caucho.config.types.ResourceRef (aka caucho-quercus).",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2018-5968,HIGH,FasterXML jackson-databind through 2.8.11 and 2.9.x through 2.9.3 allows unauthenticated remote code execution because of an incomplete fix for the CVE-2017-7525 and CVE-2017-17485 deserialization fla,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-10650,HIGH,A deserialization flaw was discovered in jackson-databind through 2.9.10.4. It could allow an unauthenticated user to perform code execution via ignite-jta or quartz-core: org.apache.ignite.cache.jta.,
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-24616,HIGH,"FasterXML jackson-databind 2.x before 2.9.10.6 mishandles the interaction between serialization gadgets and typing, related to br.com.anteros.dbcp.AnterosDBCPDataSource (aka Anteros-DBCP).",
Dependency-Check,jackson-databind-2.4.6.jar,CVE-2020-24750,HIGH,"FasterXML jackson-databind 2.x before 2.9.10.6 mishandles the interaction between serialization gadgets and typing, related to com.pastdev.httpcomponents.configuration.JndiConfiguration.",
